tickers,Name,method,aic,aicc,bic,sigma,closePrice,lowGrowth,meanGrowth,highGrowth,predicted,highGrowthLim,lowGrowthLim
AACG,Ata Creativity Global,"ARIMA(0,1,3)",-645.64,-645.48,-631.46,0,0.97,-0.3,0.02,0.34,0.99,1.31,0.67
AACI,Armada Acquisition Corp. I,"ARIMA(1,1,3) with drift",-785.75,-785.41,-764.48,0,10.7,-0.17,0.02,0.21,10.72,10.91,10.53
AADI,"Aadi Bioscience, Inc.","ARIMA(0,1,0) with drift",74.56,74.61,81.65,0.08,4.38,-2.04,-0.32,1.41,4.06,5.79,2.34
AADR,AdvisorShares Dorsey Wright ADR ETF,"ARIMA(0,1,0)",396.86,396.88,400.41,0.27,47.17,-3.24,0,3.24,47.17,50.41,43.93
AAL,American Airlines Group Inc.,"ARIMA(0,1,0)",170.17,170.19,173.72,0.11,11.15,-2.08,0,2.08,11.15,13.23,9.07
AAME,Atlantic American Corp,"ARIMA(2,1,1) with drift",-668.85,-668.61,-651.13,0,1.72,-0.26,-0.01,0.24,1.71,1.96,1.46
AAOI,"Applied Optoelectronics, Inc.","ARIMA(0,1,0)",464.01,464.02,467.55,0.36,7.43,-3.7,0,3.7,7.43,11.13,3.73
AAON,"Aaon, Inc.","ARIMA(1,1,0)",872.77,872.82,879.86,1.75,54.48,-7.76,0,7.76,54.48,62.24,46.72
AAPB,GraniteShares 1.75x Long AAPL Daily ETF,"ARIMA(1,1,1)",461.99,462.09,472.63,0.35,22.55,-3.81,0.02,3.84,22.57,26.39,18.74
AAPL,Apple Inc.,"ARIMA(4,1,0)",1213.88,1214.12,1231.61,6.56,170.77,-14.98,0.01,14.99,170.78,185.76,155.79
AAXJ,iShares MSCI All Country Asia ex Japan ETF,"ARIMA(0,2,1)",594.45,594.5,601.53,0.59,61.41,-5.82,-0.66,4.51,60.75,65.92,55.59
ABAT,American Battery Technology Co,"ARIMA(0,1,1)",459.73,459.78,466.82,0.35,4.86,-4.73,-0.21,4.32,4.65,9.18,0.13
ABCB,Ameris Bancorp,"ARIMA(0,1,0)",686.71,686.73,690.26,0.85,37.3,-5.71,0,5.71,37.3,43.01,31.59
ABCL,Abcellera Biologics Inc.,"ARIMA(4,1,0) with drift",63.86,64.2,85.13,0.07,4.11,-2.23,-0.21,1.8,3.9,5.91,1.88
ABCM,Abcam Plc,"ARIMA(4,1,0)",402.53,402.77,420.26,0.28,22.92,-2.98,0,2.98,22.92,25.9,19.94
ABEO,Abeona Therapeutics Inc.,"ARIMA(1,1,0)",-218.11,-218.06,-211.02,0.02,3.82,-1.06,0,1.06,3.82,4.88,2.76
ABIO,"Arca Biopharma, Inc.","ARIMA(0,1,0)",-1009.29,-1009.28,-1005.75,0,1.79,-0.21,0,0.21,1.79,2,1.58
ABL,"Abacus Life, Inc.","ARIMA(2,1,2)",79.25,79.49,96.98,0.08,6.11,-1.71,-0.02,1.68,6.09,7.79,4.4
ABNB,"Airbnb, Inc.","ARIMA(4,1,1)",1354.87,1355.21,1376.15,11.32,118.29,-21.15,-0.08,21,118.21,139.29,97.14
ABOS,"Acumen Pharmaceuticals, Inc.","ARIMA(0,1,5)",213.87,214.21,235.14,0.13,1.87,-1.72,0.1,1.92,1.97,3.79,0.15
ABSI,Absci Corp,"ARIMA(2,1,1)",-299.38,-299.22,-285.2,0.02,1.3,-0.79,-0.01,0.77,1.29,2.07,0.51
ABUS,Arbutus Biopharma Corp,"ARIMA(1,1,1)",-621.79,-621.69,-611.15,0.01,1.83,-0.39,0,0.39,1.83,2.22,1.44
ABVC,"Abvc Biopharma, Inc.","ARIMA(0,1,1)",292.32,292.37,299.41,0.18,1.08,-1.89,0.05,1.99,1.13,3.07,-0.81
ACAB,Atlantic Coastal Acquisition Corp. Ii,"ARIMA(2,1,0) with drift",-1122.7,-1122.54,-1108.52,0,10.6,-0.08,0.02,0.13,10.62,10.73,10.52
ACAC,Acri Capital Acquisition Corp,"ARIMA(4,1,1) with drift",-845,-844.54,-820.18,0,11.01,-0.19,-0.02,0.15,10.99,11.16,10.82
ACACU,Acri Capital Acquisition Corp,"ARIMA(0,1,5)",-163.67,-163.33,-142.4,0.03,10.97,-0.59,0.04,0.68,11.01,11.65,10.38
ACACU,Acri Capital Acquisition Corporation - Unit,"ARIMA(0,1,5)",-163.67,-163.33,-142.4,0.03,10.97,-0.59,0.04,0.68,11.01,11.65,10.38
ACAD,Acadia Pharmaceuticals Inc,"ARIMA(0,1,0)",556.65,556.66,560.19,0.51,22.57,-4.43,0,4.43,22.57,27,18.14
ACBA,Ace Global Business Acquisition Ltd,"ARIMA(0,1,2) with drift",-918.18,-918.02,-904,0,11.62,-0.08,0.05,0.17,11.67,11.79,11.54
ACBAU,Ace Global Business Acquisition Limited - Unit,"ARIMA(1,1,1) with drift",-276.03,-275.87,-261.85,0.02,12.03,-0.35,0.08,0.51,12.11,12.54,11.68
ACBAU,Ace Global Business Acquisition Ltd,"ARIMA(1,1,1) with drift",-276.03,-275.87,-261.85,0.02,12.03,-0.35,0.08,0.51,12.11,12.54,11.68
ACCD,"Accolade, Inc.","ARIMA(0,1,0)",344.08,344.09,347.62,0.22,6.5,-2.93,0,2.93,6.5,9.43,3.57
ACDC,Profrac Holding Corp.,"ARIMA(0,1,5)",511.67,512.01,532.94,0.42,9.42,-4.01,-0.03,3.95,9.39,13.37,5.41
ACET,"Adicet Bio, Inc.","ARIMA(3,1,2)",474.94,475.28,496.21,0.36,1.32,-4.31,0,4.31,1.32,5.63,-2.99
ACGL,Arch Capital Group Ltd.,"ARIMA(4,1,0) with drift",797.15,797.49,818.42,1.28,86.68,-5.3,0.84,6.97,87.52,93.65,81.38
ACGLN,Arch Capital Group Ltd.,"ARIMA(0,1,0)",-0.07,-0.05,3.48,0.06,17.3,-1.49,0,1.49,17.3,18.79,15.81
ACGLO,Arch Capital Group Ltd.,"ARIMA(0,1,0)",37.5,37.52,41.05,0.07,20.41,-1.61,0,1.61,20.41,22.02,18.8
ACHC,"Acadia Healthcare Company, Inc.","ARIMA(0,1,0)",906.11,906.12,909.65,2,73.51,-8.77,0,8.77,73.51,82.28,64.74
ACHV,"Achieve Life Sciences, Inc.","ARIMA(0,1,4)",68.18,68.42,85.9,0.07,4.02,-1.63,-0.02,1.59,4,5.61,2.39
ACIC,American Coastal Insurance Corp,"ARIMA(0,1,0) with drift",109.74,109.79,116.83,0.09,7.49,-1.57,0.28,2.12,7.77,9.61,5.92
ACIU,Ac Immune Sa,"ARIMA(0,1,2)",-310.35,-310.25,-299.71,0.02,3,-0.69,-0.08,0.53,2.92,3.53,2.31
ACIW,"Aci Worldwide, Inc.","ARIMA(0,1,0)",477.18,477.19,480.72,0.37,20.37,-3.79,0,3.79,20.37,24.16,16.58
ACLS,Axcelis Technologies Inc,"ARIMA(0,2,1)",1435.33,1435.37,1442.41,15.91,127.5,-35.58,-8.12,19.35,119.38,146.85,91.92
ACMR,"Acm Research, Inc.","ARIMA(0,1,0)",476.42,476.44,479.97,0.37,13.6,-3.79,0,3.79,13.6,17.39,9.81
ACNB,Acnb Corp,"ARIMA(0,1,1)",636.61,636.65,643.7,0.7,34.41,-4.41,-0.1,4.2,34.31,38.61,30
ACNT,Ascent Industries Co.,"ARIMA(0,1,3)",228.22,228.38,242.4,0.14,8.35,-1.94,0.03,2,8.38,10.35,6.41
ACOR,"Acorda Therapeutics, Inc.","ARIMA(1,0,0) with non-zero mean",796.36,796.46,807.01,1.27,9.59,-3.2,2.03,7.26,11.62,16.85,6.39
ACRS,"Aclaris Therapeutics, Inc.","ARIMA(0,1,1) with drift",420.83,420.92,431.46,0.3,4.98,-3.59,-0.51,2.57,4.47,7.55,1.39
ACST,Acasti Pharma Inc.,"ARIMA(0,1,2)",-278.04,-277.94,-267.4,0.02,2.36,-1.06,-0.01,1.04,2.35,3.4,1.3
ACT,"Enact Holdings, Inc.","ARIMA(0,1,1)",266.32,266.37,273.41,0.16,27.56,-2.16,-0.08,2,27.48,29.56,25.4
ACTG,Acacia Research Corp,"ARIMA(0,1,0)",-532.79,-532.78,-529.25,0.01,3.59,-0.53,0,0.53,3.59,4.12,3.06
ACVA,Acv Auctions Inc.,"ARIMA(1,1,0)",298.77,298.82,305.86,0.19,13.33,-2.64,0,2.64,13.33,15.97,10.69
ACWI,iShares MSCI ACWI ETF,"ARIMA(0,1,0)",636.19,636.21,639.74,0.7,90.02,-5.18,0,5.18,90.02,95.2,84.84
ACXP,"Acurx Pharmaceuticals, Inc.","ARIMA(1,1,0)",-128.89,-128.84,-121.8,0.03,5.35,-1.38,-0.05,1.28,5.3,6.63,3.97
ADAG,Adagene Inc.,"ARIMA(1,1,1)",-569.49,-569.4,-558.86,0.01,1.36,-0.35,0,0.35,1.35,1.7,1.01
ADBE,Adobe Inc.,"ARIMA(0,1,0) with drift",1838.7,1838.75,1845.79,76.16,532.06,-45.66,8.43,62.52,540.49,594.58,486.4
ADD,"Color Star Technology Co., Ltd.","ARIMA(0,1,3)",-485.56,-485.4,-471.37,0.01,0.21,-0.58,0,0.59,0.21,0.79,-0.37
ADEA,Adeia Inc.,"ARIMA(0,1,2)",65.86,65.95,76.49,0.07,8.43,-1.74,0.02,1.78,8.45,10.21,6.69
ADES,"Advanced Emissions Solutions, Inc.","ARIMA(0,1,3)",-343.97,-343.81,-329.79,0.01,1.7,-0.66,0,0.66,1.7,2.36,1.04
ADI,Analog Devices Inc,"ARIMA(0,1,0)",1318.77,1318.78,1322.31,10.03,157.33,-19.63,0,19.63,157.33,176.96,137.7
ADIL,"Adial Pharmaceuticals, Inc.","ARIMA(0,1,3)",463.71,463.86,477.89,0.35,1.93,-2.7,0.06,2.81,1.99,4.74,-0.77
ADMA,"Adma Biologics, Inc.","ARIMA(0,1,0)",-408.79,-408.77,-405.24,0.01,3.38,-0.67,0,0.67,3.38,4.05,2.71
ADP,Automatic Data Processing Inc,"ARIMA(4,1,0)",1357.3,1357.54,1375.03,11.48,218.22,-18.43,0.08,18.59,218.3,236.81,199.79
ADSE,Ads-Tec Energy Public Ltd Co,"ARIMA(3,1,0)",-48.61,-48.45,-34.43,0.05,6.5,-1.64,0,1.63,6.5,8.13,4.86
ADSK,"Autodesk, Inc.","ARIMA(3,1,2)",1521.34,1521.68,1542.61,21.7,197.63,-28.25,-0.33,27.58,197.3,225.21,169.38
ADTH,"Adtheorent Holding Company, Inc.","ARIMA(5,1,0)",-659.48,-659.14,-638.21,0,1.17,-0.31,0,0.31,1.17,1.48,0.86
ADTN,"Adtran Holdings, Inc.","ARIMA(2,1,3) with drift",364.12,364.57,388.94,0.24,6.57,-3.61,-0.52,2.58,6.05,9.15,2.96
ADUS,Addus Homecare Corp,"ARIMA(3,1,0)",1230.66,1230.82,1244.84,7.03,78.9,-12.95,0.79,14.52,79.69,93.42,65.95
ADV,Advantage Solutions Inc.,"ARIMA(5,1,0)",-466.98,-466.64,-445.71,0.01,2.3,-0.64,-0.02,0.59,2.28,2.89,1.66
ADVM,"Adverum Biotechnologies, Inc.","ARIMA(1,1,3)",-671.27,-671.03,-653.55,0,0.9,-0.49,-0.02,0.45,0.87,1.34,0.4
AEHL,Antelope Enterprise Holdings Ltd,"ARIMA(0,1,0)",328.94,328.96,332.49,0.21,2.36,-2.84,0,2.84,2.36,5.2,-0.49
AEHR,Aehr Test Systems,"ARIMA(0,1,0)",1041.79,1041.8,1045.33,3.4,23.56,-11.43,0,11.43,23.56,34.99,12.13
AEI,Alset Inc.,"ARIMA(0,1,3)",-219.86,-219.7,-205.68,0.02,1.3,-0.91,0,0.91,1.29,2.2,0.39
AEIS,Advanced Energy Industries Inc,"ARIMA(0,1,0)",1114.21,1114.23,1117.76,4.51,87.26,-13.17,0,13.17,87.26,100.43,74.09
AEMD,Aethlon Medical Inc,"ARIMA(0,1,0)",55.76,55.77,59.3,0.07,1.45,-1.67,0,1.67,1.45,3.12,-0.22
AENT,Alliance Entertainment Holding Corp,"ARIMA(2,1,2) with drift",192.58,192.92,213.86,0.12,1.24,-2.57,-0.35,1.87,0.89,3.11,-1.33
AEP,American Electric Power Co Inc,"ARIMA(0,1,0)",802.04,802.05,805.58,1.33,75.54,-7.16,0,7.16,75.54,82.7,68.38
AEYE,Audioeye Inc,"ARIMA(2,1,0)",54.6,54.69,65.23,0.07,4.44,-1.52,-0.06,1.4,4.38,5.84,2.92
AEZS,Aeterna Zentaris Inc.,"ARIMA(3,1,2) with drift",-494.28,-493.82,-469.46,0.01,1.5,-0.72,-0.1,0.52,1.41,2.03,0.79
AFAR,Aura Fat Projects Acquisition Corp,"ARIMA(1,1,1) with drift",-1301.79,-1301.63,-1287.61,0,10.78,-0.04,0.03,0.1,10.81,10.88,10.73
AFARU,Aura FAT Projects Acquisition Corp - Unit,"ARIMA(1,1,4)",-309.56,-309.23,-288.29,0.02,10.87,-0.43,-0.03,0.38,10.84,11.25,10.44
AFARU,Aura Fat Projects Acquisition Corp,"ARIMA(1,1,4)",-309.56,-309.23,-288.29,0.02,10.87,-0.43,-0.03,0.38,10.84,11.25,10.44
AFBI,"Affinity Bancshares, Inc.","ARIMA(0,1,1)",109.96,110.01,117.05,0.09,14.06,-1.5,0.05,1.6,14.11,15.66,12.56
AFCG,"Afc Gamma, Inc.","ARIMA(1,1,0)",78.72,78.77,85.81,0.08,10.58,-1.86,-0.01,1.84,10.57,12.42,8.72
AFRI,Forafric Global Plc,"ARIMA(0,1,2)",-96,-95.9,-85.36,0.04,11.04,-0.86,-0.11,0.64,10.93,11.68,10.18
AFRM,"Affirm Holdings, Inc.","ARIMA(1,1,0)",707.12,707.17,714.21,0.92,17.61,-5.97,0,5.98,17.61,23.59,11.64
AFYA,Afya Ltd,"ARIMA(1,1,0)",240.76,240.8,247.85,0.15,16.1,-2.18,0.01,2.2,16.11,18.3,13.92
AGEN,Agenus Inc,"ARIMA(0,1,5) with drift",-484.2,-483.75,-459.38,0.01,0.8,-0.55,-0.06,0.43,0.74,1.23,0.25
AGIO,"Agios Pharmaceuticals, Inc.","ARIMA(2,1,2)",539.96,540.2,557.69,0.47,21.01,-3.55,-0.07,3.4,20.94,24.41,17.46
AGLE,"Aeglea Biotherapeutics, Inc.","ARIMA(4,1,1)",1015.99,1016.33,1037.26,3.01,11.64,-11.81,-0.15,11.51,11.49,23.15,-0.17
AGNC,Agnc Investment Corp.,"ARIMA(2,2,3)",-150.69,-150.35,-129.44,0.03,7.38,-1.84,-0.55,0.75,6.83,8.13,5.54
AGNCL,Agnc Investment Corp.,"ARIMA(3,0,0) with non-zero mean",10.31,10.55,28.05,0.06,20.33,-1.03,0.28,1.58,20.61,21.91,19.3
AGNCM,Agnc Investment Corp.,"ARIMA(1,2,2)",16.57,16.73,30.73,0.06,20.98,-3.2,-1.56,0.08,19.42,21.06,17.78
AGNCN,Agnc Investment Corp.,"ARIMA(3,2,2)",-139.25,-138.91,-118,0.03,24.35,-1.66,-0.65,0.35,23.7,24.7,22.69
AGNCO,Agnc Investment Corp.,"ARIMA(2,1,1)",-16.27,-16.11,-2.09,0.05,21.29,-1.9,-0.39,1.11,20.9,22.4,19.39
AGNCP,Agnc Investment Corp.,"ARIMA(1,1,1)",-46.57,-46.48,-35.94,0.05,19.99,-1.47,0.03,1.54,20.02,21.53,18.52
AGNG,Global X Aging Population ETF,"ARIMA(3,2,2)",-29.75,-29.42,-8.51,0.05,24.92,-1.75,-0.43,0.89,24.49,25.81,23.17
AGRI,Agriforce Growing Systems Ltd.,"ARIMA(2,1,3) with drift",1180.2,1180.66,1205.02,5.68,1.94,-12.88,-2.35,8.18,-0.41,10.12,-10.94
AGYS,Agilysys Inc,"ARIMA(2,1,0)",1104.86,1104.95,1115.49,4.32,85.79,-12.8,-0.01,12.79,85.78,98.58,72.99
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,"ARIMA(0,1,1)",-479.77,-479.73,-472.68,0.01,22.09,-0.52,0,0.52,22.09,22.61,21.57
AHCO,Adapthealth Corp.,"ARIMA(0,1,0) with drift",451.79,451.84,458.88,0.34,7.33,-4.16,-0.56,3.05,6.77,10.38,3.17
AHG,Akso Health Group,"ARIMA(1,1,2)",-726.66,-726.5,-712.48,0,1.21,-0.46,-0.03,0.4,1.18,1.61,0.75
AHI,Advanced Health Intelligence Ltd,"ARIMA(0,1,4)",438.41,438.65,456.14,0.32,1.75,-1.78,0.19,2.17,1.94,3.92,-0.03
AIA,iShares Asia 50 ETF,"ARIMA(0,2,1)",670,670.05,677.08,0.79,53.95,-6.69,-0.67,5.34,53.28,59.29,47.26
AIMAU,Aimfinity Investment Corp. I,"ARIMA(0,1,1)",-590.52,-590.47,-583.43,0.01,10.7,-0.28,0,0.28,10.7,10.98,10.42
AIMAU,Aimfinity Investment Corp. I - Unit,"ARIMA(0,1,1)",-590.52,-590.47,-583.43,0.01,10.7,-0.28,0,0.28,10.7,10.98,10.42
AIP,"Arteris, Inc.","ARIMA(0,1,0)",11.08,11.09,14.62,0.06,5.45,-1.53,0,1.53,5.45,6.98,3.92
AIQ,Global X Artificial Intelligence & Technology ETF,"ARIMA(1,1,0)",181.09,181.14,188.18,0.12,26.16,-2.28,0.01,2.31,26.17,28.47,23.88
AIRG,Airgain Inc,"ARIMA(0,1,0)",-116.34,-116.32,-112.79,0.04,3.33,-1.19,0,1.19,3.33,4.52,2.14
AIRR,First Trust RBA American Industrial Renaissance ETF,"ARIMA(1,1,1)",549.83,549.92,560.46,0.49,47.78,-3.81,-0.06,3.7,47.72,51.48,43.97
AIRS,"Airsculpt Technologies, Inc.","ARIMA(0,1,1)",120.18,120.22,127.27,0.09,6,-2.15,0.01,2.16,6.01,8.16,3.85
AIRT,Air T Inc,"ARIMA(4,1,0)",540.36,540.6,558.09,0.47,23.31,-2.79,-0.02,2.75,23.29,26.06,20.51
AIRTP,Air T Inc,"ARIMA(0,1,1)",340.09,340.13,347.18,0.22,19,-2.49,0,2.49,19,21.49,16.51
AIRTP,"Air T, Inc. - Trust Preferred Securities","ARIMA(0,1,1)",340.09,340.13,347.18,0.22,19,-2.49,0,2.49,19,21.49,16.51
AKAM,Akamai Technologies Inc,"ARIMA(0,1,1)",914.78,914.83,921.87,2.06,103.33,-9.75,0.08,9.91,103.41,113.24,93.58
AKBA,"Akebia Therapeutics, Inc.","ARIMA(0,1,0)",-643.77,-643.75,-640.23,0,0.88,-0.42,0,0.42,0.88,1.3,0.46
AKLI,"Akili, Inc.","ARIMA(2,1,2)",-452.01,-451.77,-434.28,0.01,0.36,-0.59,0,0.59,0.35,0.94,-0.24
AKRO,"Akero Therapeutics, Inc.","ARIMA(0,1,1)",1184.13,1184.18,1191.22,5.91,11.92,-16.72,0.02,16.77,11.94,28.69,-4.8
AKTS,"Akoustis Technologies, Inc.","ARIMA(1,1,0)",-304.89,-304.84,-297.8,0.02,0.51,-0.92,0,0.93,0.51,1.44,-0.42
AKYA,"Akoya Biosciences, Inc.","ARIMA(2,1,1) with drift",201.74,201.98,219.47,0.13,3.5,-2.65,-0.34,1.96,3.16,5.46,0.85
ALAR,Alarum Technologies Ltd.,"ARIMA(2,1,2)",-121.6,-121.36,-103.88,0.04,3.15,-1.01,0.04,1.09,3.19,4.24,2.14
ALBT,Avalon Globocare Corp.,"ARIMA(0,1,5) with drift",-34.73,-34.27,-9.91,0.05,0.59,-1.03,-0.2,0.63,0.39,1.22,-0.44
ALCO,"Alico, Inc.","ARIMA(0,1,0)",367.42,367.44,370.97,0.24,24.44,-3.06,0,3.06,24.44,27.5,21.38
ALEC,"Alector, Inc.","ARIMA(0,1,1)",174.8,174.85,181.89,0.11,5.2,-1.66,-0.01,1.64,5.19,6.84,3.54
ALGM,"Allegro Microsystems, Inc.","ARIMA(0,2,1)",756.18,756.23,763.26,1.11,25.96,-9.7,-2.32,5.06,23.64,31.02,16.26
ALGN,Align Technology Inc,"ARIMA(3,1,0)",1936.03,1936.19,1950.21,110.53,184.59,-67.48,-0.08,67.33,184.51,251.92,117.11
ALGT,Allegiant Travel Co,"ARIMA(1,2,1)",1264.57,1264.66,1275.19,8.12,66.62,-23.61,-5.41,12.8,61.21,79.42,43.01
ALHC,"Alignment Healthcare, Inc.","ARIMA(2,1,1)",178.38,178.54,192.56,0.12,6.88,-2.12,-0.01,2.09,6.87,8.97,4.76
ALIM,Alimera Sciences Inc,"ARIMA(0,2,1)",-252.14,-252.09,-245.05,0.02,3.35,-0.94,0.06,1.06,3.41,4.41,2.41
ALKS,Alkermes Plc.,"ARIMA(2,1,0)",429.96,430.06,440.6,0.31,24.19,-3.38,0.06,3.51,24.25,27.7,20.81
ALKT,"Alkami Technology, Inc.","ARIMA(0,1,0)",250.85,250.87,254.4,0.15,17.95,-2.44,0,2.44,17.95,20.39,15.51
ALLK,Allakos Inc.,"ARIMA(1,1,1)",-28,-27.91,-17.37,0.05,1.91,-1.39,0,1.39,1.91,3.3,0.52
ALLO,"Allogene Therapeutics, Inc.","ARIMA(4,1,1) with drift",48.64,49.09,73.46,0.07,2.82,-1.93,-0.26,1.4,2.56,4.22,0.89
ALLR,"Allarity Therapeutics, Inc.","ARIMA(4,2,1)",2399.46,2399.8,2420.71,684.15,0.56,-133.72,-1.34,131.03,-0.79,131.58,-133.16
ALLT,Allot Ltd.,"ARIMA(0,1,0)",-474.23,-474.21,-470.68,0.01,1.82,-0.59,0,0.59,1.82,2.41,1.23
ALNT,Allient Inc,"ARIMA(1,1,1)",716.1,716.19,726.73,0.95,27.6,-4.91,0.06,5.03,27.66,32.63,22.69
ALNY,"Alnylam Pharmaceuticals, Inc.","ARIMA(0,1,0)",1518.1,1518.12,1521.64,21.85,151.8,-28.97,0,28.97,151.8,180.77,122.83
ALOT,"Astronova, Inc.","ARIMA(0,1,0)",101.85,101.87,105.4,0.09,13.58,-1.82,0,1.82,13.58,15.4,11.76
ALPN,"Alpine Immune Sciences, Inc.","ARIMA(0,1,3)",166.23,166.39,180.41,0.11,10.24,-2.13,-0.25,1.63,9.99,11.87,8.11
ALPP,"Alpine 4 Holdings, Inc.","ARIMA(5,1,0) with drift",-134.83,-134.38,-110.01,0.03,0.82,-1.42,-0.15,1.12,0.67,1.94,-0.6
ALRM,"Alarm.Com Holdings, Inc.","ARIMA(4,1,1)",912.9,913.24,934.18,2.02,51.13,-6.06,0.75,7.55,51.88,58.68,45.07
ALRN,Aileron Therapeutics Inc,"ARIMA(1,1,4) with drift",-301.52,-301.07,-276.7,0.02,1.17,-0.77,-0.1,0.57,1.07,1.74,0.4
ALRS,Alerus Financial Corp,"ARIMA(0,1,0)",283.01,283.02,286.55,0.18,17.31,-2.6,0,2.6,17.31,19.91,14.71
ALT,"Altimmune, Inc.","ARIMA(0,1,1)",439.69,439.74,446.78,0.32,2.41,-4,0,4,2.41,6.41,-1.59
ALTI,"Alti Global, Inc.","ARIMA(0,1,2)",522.89,522.98,533.52,0.44,6.27,-3.25,0,3.24,6.27,9.51,3.02
ALTO,"Alto Ingredients, Inc.","ARIMA(0,1,0)",-286.89,-286.87,-283.34,0.02,4.16,-0.85,0,0.85,4.16,5.01,3.31
ALTR,Altair Engineering Inc.,"ARIMA(0,1,1)",828.38,828.42,835.47,1.47,62.12,-8.32,0.36,9.03,62.48,71.15,53.8
ALTU,Altitude Acquisition Corp.,"ARIMA(0,1,5)",-1325.78,-1325.44,-1304.51,0,10.14,-0.1,0,0.1,10.14,10.24,10.04
ALTY,Global X Alternative Income ETF,"ARIMA(1,1,0)",-567.64,-567.6,-560.55,0.01,10.44,-0.48,0,0.47,10.44,10.91,9.96
ALVO,Alvotech,"ARIMA(0,1,1)",193,193.05,200.1,0.12,8.89,-2.46,0.04,2.54,8.93,11.43,6.43
ALVR,"Allovir, Inc.","ARIMA(0,1,0)",75.63,75.65,79.18,0.08,1.5,-1.73,0,1.73,1.5,3.23,-0.23
ALXO,Alx Oncology Holdings Inc,"ARIMA(2,1,1)",292,292.16,306.18,0.18,7.2,-2.48,-0.04,2.41,7.16,9.61,4.72
ALYA,Alithya Group Inc,"ARIMA(0,1,0)",-853.69,-853.68,-850.15,0,1.39,-0.28,0,0.28,1.39,1.67,1.11
AMAL,Amalgamated Financial Corp.,"ARIMA(3,1,2)",349.67,350,370.94,0.22,18.24,-2.72,-0.05,2.61,18.19,20.85,15.52
AMAT,Applied Materials Inc /De,"ARIMA(0,1,0)",1263.85,1263.86,1267.39,8.09,132.35,-17.63,0,17.63,132.35,149.98,114.72
AMBA,Ambarella Inc,"ARIMA(1,2,3)",1194.28,1194.52,1211.98,6.11,44.99,-18.31,-4.62,9.06,40.37,54.05,26.68
AMD,Advanced Micro Devices Inc,"ARIMA(0,1,0)",1261.23,1261.25,1264.78,8.01,98.5,-17.54,0,17.54,98.5,116.04,80.96
AMED,Amedisys Inc,"ARIMA(4,1,0)",1077.57,1077.81,1095.29,3.85,91.49,-11.5,0.01,11.53,91.5,103.02,79.99
AMEH,"Apollo Medical Holdings, Inc.","ARIMA(1,1,0)",778.01,778.05,785.1,1.21,31.21,-6.16,-0.11,5.94,31.1,37.15,25.05
AMGN,Amgen Inc,"ARIMA(2,1,0)",1347.1,1347.19,1357.73,11.12,255.7,-25.52,-1.34,22.85,254.36,278.55,230.18
AMID,Argent Mid Cap ETF,"ARIMA(2,1,1)",100.43,100.59,114.61,0.08,24.7,-1.74,-0.03,1.68,24.67,26.38,22.97
AMKR,"Amkor Technology, Inc.","ARIMA(0,1,0)",550.22,550.24,553.77,0.5,20.86,-4.38,0,4.38,20.86,25.24,16.48
AMLI,American Lithium Corp.,"ARIMA(0,1,0)",-456.99,-456.98,-453.45,0.01,1.22,-0.61,0,0.61,1.22,1.83,0.61
AMNB,American National Bankshares Inc.,"ARIMA(0,1,0)",601.93,601.95,605.48,0.61,38.16,-4.84,0,4.84,38.16,43,33.32
AMPG,"Amplitech Group, Inc.","ARIMA(0,1,1)",-504.01,-503.96,-496.92,0.01,1.76,-0.51,0,0.5,1.76,2.26,1.25
AMPH,"Amphastar Pharmaceuticals, Inc.","ARIMA(0,1,0)",825.39,825.41,828.94,1.46,45.27,-7.49,0,7.49,45.27,52.76,37.78
AMPL,"Amplitude, Inc.","ARIMA(1,1,0)",278.31,278.36,285.4,0.17,9.96,-2.55,0,2.55,9.96,12.51,7.41
AMRK,"A-Mark Precious Metals, Inc.","ARIMA(0,1,2)",622.9,622.99,633.53,0.66,27.08,-6.08,-0.07,5.95,27.01,33.03,21
AMRN,Amarin Corp Plc\Uk,"ARIMA(0,1,0)",-729.55,-729.53,-726,0,0.7,-0.36,0,0.36,0.7,1.06,0.34
AMSC,American Superconductor Corp /De/,"ARIMA(0,1,5)",439.41,439.75,460.69,0.32,6.26,-2.34,-0.03,2.29,6.24,8.55,3.93
AMSF,Amerisafe Inc,"ARIMA(4,1,0)",642.08,642.32,659.8,0.7,50.97,-4.64,0.12,4.87,51.09,55.84,46.33
AMST,Amesite Inc.,"ARIMA(0,1,5)",189.94,190.28,211.21,0.12,2.1,-1.17,0.19,1.55,2.29,3.65,0.93
AMSWA,American Software Inc,"ARIMA(0,1,0)",159.23,159.25,162.77,0.11,10.97,-2.04,0,2.04,10.97,13.01,8.93
AMWD,American Woodmark Corp,"ARIMA(0,1,0)",924.79,924.81,928.34,2.15,67.23,-9.09,0,9.09,67.23,76.32,58.14
AMZN,Amazon Com Inc,"ARIMA(0,1,0)",1227.46,1227.48,1231.01,7.02,133.09,-16.42,0,16.42,133.09,149.51,116.67
ANAB,"Anaptysbio, Inc","ARIMA(1,1,1) with drift",590.64,590.8,604.82,0.58,16.31,-3.1,0.07,3.25,16.38,19.56,13.21
ANDE,"Andersons, Inc.","ARIMA(0,1,1)",674.75,674.8,681.84,0.81,50.13,-6.11,0.06,6.23,50.19,56.36,44.02
