tickers,Name,method,aic,aicc,bic,sigma,closePrice,lowGrowth,meanGrowth,highGrowth,predicted,highGrowthLim,lowGrowthLim
BALT,Innovator Defined Wealth Shield ETF,"ARIMA(0,1,1) with drift",-823.44,-823.35,-812.81,0,27.78,-0.19,0.06,0.31,27.84,28.09,27.59
BALY,Bally'S Corp,"ARIMA(4,1,0) with drift",425.81,426.14,447.08,0.3,9.12,-3.76,-0.56,2.64,8.56,11.76,5.36
BANC,"Banc Of California, Inc.","ARIMA(1,1,2)",167.92,168.08,182.11,0.11,11.21,-2.33,0.03,2.4,11.24,13.61,8.88
BAP,Credicorp Ltd,"ARIMA(0,1,0)",1192.63,1192.65,1196.18,6.13,124.96,-15.34,0,15.34,124.96,140.3,109.62
BAPR,Innovator U.S. Equity Buffer ETF - April ,"ARIMA(4,1,0)",-29.46,-29.22,-11.73,0.05,34.41,-1.26,-0.05,1.16,34.36,35.57,33.15
BARK,"Bark, Inc.","ARIMA(1,1,3)",-664.52,-664.28,-646.8,0,1.07,-0.43,0,0.43,1.07,1.5,0.64
BAUG,Innovator U.S. Equity Buffer ETF - August,"ARIMA(4,1,0)",-16.61,-16.37,1.12,0.05,32.49,-1.29,-0.05,1.19,32.44,33.68,31.2
BAX,Baxter International Inc,"ARIMA(3,1,0)",719.09,719.25,733.27,0.95,32.43,-6.05,-0.04,5.96,32.39,38.39,26.38
BB,Blackberry Ltd,"ARIMA(0,1,1)",-202.78,-202.73,-195.69,0.03,3.58,-1.1,-0.01,1.09,3.57,4.67,2.48
BBAI,"Bigbear.Ai Holdings, Inc.","ARIMA(2,1,3)",68.92,69.25,90.19,0.07,1.27,-1.44,0,1.44,1.27,2.71,-0.17
BBAR,Banco BBVA Argentina S.A. ADS,"ARIMA(0,1,3)",-197.98,-197.82,-183.8,0.03,3.92,-1.19,-0.07,1.05,3.85,4.97,2.73
BBAR,Banco Bbva Argentina S.A.,"ARIMA(0,1,3)",-197.98,-197.82,-183.8,0.03,3.92,-1.19,-0.07,1.05,3.85,4.97,2.73
BBCA,JPMorgan BetaBuilders Canada ETF ,"ARIMA(2,0,2) with non-zero mean",487.12,487.46,508.42,0.38,55.17,-1.8,1.55,4.9,56.72,60.07,53.37
BBD,Bank Bradesco,"ARIMA(0,1,0)",-516.42,-516.4,-512.87,0.01,2.79,-0.54,0,0.54,2.79,3.33,2.25
BBDC,"Barings Bdc, Inc.","ARIMA(1,1,0)",-365.03,-364.98,-357.94,0.01,8.84,-0.71,0,0.71,8.84,9.55,8.13
BBDO,Bank Bradesco,"ARIMA(0,1,0)",-570.54,-570.52,-566.99,0.01,2.39,-0.49,0,0.49,2.39,2.88,1.9
BBEU,JPMorgan BetaBuilders Europe ETF ,"ARIMA(1,2,2)",413.05,413.21,427.22,0.29,49.4,-3.93,-0.57,2.79,48.83,52.19,45.47
BBHY,JPMorgan BetaBuilders USD High Yield Corporate Bond ETF,"ARIMA(5,1,0)",0.31,0.65,21.58,0.06,43.23,-1.21,-0.06,1.1,43.17,44.33,42.02
BBIN,JPMorgan BetaBuilders International Equity ETF,"ARIMA(1,2,2)",384.75,384.91,398.91,0.26,50.62,-3.72,-0.51,2.7,50.11,53.32,46.9
BBJP,JPMorgan BetaBuilders Japan ETF ,"ARIMA(3,1,2) with drift",365.23,365.69,390.05,0.24,49.19,-2.61,0.29,3.19,49.48,52.38,46.58
BBN,Blackrock Taxable Municipal Bond Trust,"ARIMA(1,1,1) with drift",-91.63,-91.47,-77.45,0.04,14.96,-1.17,-0.11,0.95,14.85,15.91,13.79
BBRE,JPMorgan BetaBuilders MSCI U.S. REIT ETF ,"ARIMA(1,1,0)",770.01,770.06,777.1,1.17,74.33,-6.53,-0.04,6.45,74.29,80.78,67.8
BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF ,"ARIMA(0,1,0)",-421.56,-421.54,-418.01,0.01,46.62,-0.66,0,0.66,46.62,47.28,45.96
BBU,Brookfield Business Partners L.P.,"ARIMA(0,1,0)",366.74,366.75,370.28,0.24,12.38,-3.06,0,3.06,12.38,15.44,9.32
BBU,Brookfield Business Partners L.P. Limited Partnership Units ,"ARIMA(0,1,0)",366.74,366.75,370.28,0.24,12.38,-3.06,0,3.06,12.38,15.44,9.32
BBUC,Brookfield Business Corp,"ARIMA(4,1,1)",397.27,397.6,418.54,0.27,14.22,-3.63,-0.04,3.55,14.18,17.77,10.59
BBUS,JPMorgan BetaBuilders U.S. Equity ETF,"ARIMA(4,1,1)",564.19,564.53,585.46,0.52,75.33,-4.16,-0.21,3.74,75.12,79.07,71.17
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.","ARIMA(0,1,0)",-320.36,-320.35,-316.82,0.02,7.83,-0.8,0,0.8,7.83,8.63,7.03
BBW,Build-A-Bear Workshop Inc,"ARIMA(0,1,0)",539.27,539.29,542.82,0.48,24.8,-4.28,0,4.28,24.8,29.08,20.52
BBWI,"Bath & Body Works, Inc.","ARIMA(1,1,0)",778.56,778.61,785.65,1.21,29.65,-6.14,-0.06,6.03,29.59,35.68,23.51
BBY,Best Buy Co Inc,"ARIMA(0,1,4)",917.24,917.48,934.96,2.05,66.82,-7.88,0.45,8.77,67.27,75.59,58.94
BC,Brunswick Corp,"ARIMA(0,1,0)",998.06,998.08,1001.61,2.87,69.47,-10.49,0,10.49,69.47,79.96,58.98
BCAT,Blackrock Capital Allocation Term Trust,"ARIMA(0,1,0)",-309.39,-309.38,-305.85,0.02,13.98,-0.82,0,0.82,13.98,14.8,13.16
BCC,Boise Cascade Co,"ARIMA(0,1,0)",983.14,983.16,986.68,2.7,93.75,-10.19,0,10.19,93.75,103.94,83.56
BCE,Bce Inc,"ARIMA(1,1,1)",308.05,308.14,318.68,0.19,37.13,-3.03,-0.04,2.95,37.09,40.08,34.1
BCH,Banco De Chile ADS,"ARIMA(0,1,1)",173.64,173.69,180.73,0.11,20.48,-2.3,0.07,2.43,20.55,22.91,18.18
BCH,Bank Of Chile,"ARIMA(0,1,1)",173.64,173.69,180.73,0.11,20.48,-2.3,0.07,2.43,20.55,22.91,18.18
BCO,Brinks Co,"ARIMA(2,1,0)",851.91,852,862.54,1.61,66.86,-6.49,-0.06,6.37,66.8,73.23,60.37
BCS,Barclays Plc,"ARIMA(0,1,0)",-205.03,-205.01,-201.48,0.03,6.43,-1,0,1,6.43,7.43,5.43
BCSF,"Bain Capital Specialty Finance, Inc.","ARIMA(0,1,0)",-136.43,-136.41,-132.88,0.03,15.14,-1.14,0,1.14,15.14,16.28,14
BCX,Blackrock Resources & Commodities Strategy Trust,"ARIMA(0,1,0)",-387.2,-387.18,-383.65,0.01,8.62,-0.7,0,0.7,8.62,9.32,7.92
BDC,Belden Inc.,"ARIMA(0,1,0)",1117.39,1117.41,1120.94,4.57,70.9,-13.25,0,13.25,70.9,84.15,57.65
BDEC,Innovator U.S. Equity Buffer ETF - December,"ARIMA(4,1,0)",62.25,62.49,79.97,0.07,34.25,-1.5,-0.05,1.4,34.2,35.65,32.76
BDJ,Blackrock Enhanced Equity Dividend Trust,"ARIMA(0,1,1)",-533.44,-533.39,-526.35,0.01,7.14,-0.59,0.01,0.61,7.15,7.75,6.55
BDN,Brandywine Realty Trust,"ARIMA(1,1,0)",-246.48,-246.43,-239.39,0.02,3.74,-0.84,0,0.85,3.74,4.59,2.9
BDX,Becton Dickinson & Co,"ARIMA(2,1,0)",1303.46,1303.55,1314.09,9.38,252.78,-20.41,0.16,20.72,252.94,273.5,232.37
